2024-11-28 09:24:51 INFO     --- Logger <<src>> started. --- src:25
2024-11-28 09:24:51 DEBUG    --- 1.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 1.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 1.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 1.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 1.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 2.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 2.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 2.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 2.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 2.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 3.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 3.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 3.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 3.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 3.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 4.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 4.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 4.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 4.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 4.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 5.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 5.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 5.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 5.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 5.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 6.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 6.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 6.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 6.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 6.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 7.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 7.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 7.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 7.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
2024-11-28 09:24:51 DEBUG    --- 7.00 - xml_tail generated... --- src.tool_updater.classes.tool_classes.base_tool:645
2024-11-28 09:24:51 DEBUG    --- 8.00 - xml_head generated... --- src.tool_updater.classes.tool_classes.base_tool:551
2024-11-28 09:24:51 DEBUG    --- 8.00 - xml_tool_params generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:128
2024-11-28 09:24:51 DEBUG    --- 8.00 - xml_tool_cut_data generated... --- src.tool_updater.classes.tool_classes.milling.sphere_mill:168
2024-11-28 09:24:51 DEBUG    --- 8.00 - xml_BOM_components generated... --- src.tool_updater.classes.tool_classes.base_tool:631
